University_Name,Country,Course_Field,Degree_Level,Min_IELTS,Min_German_Score,Min_Academic_Percentage,Tuition_Fee_USD,Backlogs_Allowed,Work_Experience_Required,Intake,Ranking_Tier
TechNova University,USA,Engineering,Master,7.0,0,75,18000,2,1,Fall,Dream
Global Business School,UK,Management,Master,6.5,0,70,15000,5,0,Fall,Target
Rhein Tech Institute,Germany,Engineering,Master,6.0,65,65,9000,3,0,Spring,Safe
Future Arts College,Canada,Arts,Bachelor,6.0,0,60,12000,5,0,Fall,Safe
Euro Medical Academy,Germany,Medical,Master,7.5,70,80,20000,1,2,Fall,Dream
Western IT University,USA,IT,Master,6.5,0,68,17000,4,0,Spring,Target
Maple Engineering College,Canada,Engineering,Bachelor,6.0,0,62,14000,5,0,Fall,Safe
London Management Institute,UK,Management,Master,7.0,0,75,22000,2,1,Fall,Dream
Berlin Data Science School,Germany,IT,Master,6.5,60,70,10000,3,0,Spring,Target
Southern Arts University,Australia,Arts,Bachelor,6.0,0,58,11000,6,0,Fall,Safe
Global Institute 10,USA,Engineering,Bachelor,6.0,0,70,10200,4,1,Fall,Target
Global Institute 11,UK,Management,Master,6.3,0,71,10320,5,2,Spring,Safe
Global Institute 12,Canada,IT,Bachelor,6.6,0,72,10440,0,0,Fall,Dream
Global Institute 13,Germany,Arts,Master,6.9,60,73,10560,1,1,Spring,Target
Global Institute 14,Australia,Medical,Bachelor,7.2,0,74,10680,2,2,Fall,Safe
Global Institute 15,USA,Engineering,Master,6.0,0,75,10800,3,0,Spring,Dream
Global Institute 16,UK,Management,Bachelor,6.3,0,76,10920,4,1,Fall,Target
Global Institute 17,Canada,IT,Master,6.6,0,77,11040,5,2,Spring,Safe
Global Institute 18,Germany,Arts,Bachelor,6.9,60,78,11160,0,0,Fall,Dream
Global Institute 19,Australia,Medical,Master,7.2,0,79,11280,1,1,Spring,Target
Global Institute 20,USA,Engineering,Bachelor,6.0,0,80,11400,2,2,Fall,Safe
Global Institute 21,UK,Management,Master,6.3,0,81,11520,3,0,Spring,Dream
Global Institute 22,Canada,IT,Bachelor,6.6,0,82,11640,4,1,Fall,Target
Global Institute 23,Germany,Arts,Master,6.9,60,83,11760,5,2,Spring,Safe
Global Institute 24,Australia,Medical,Bachelor,7.2,0,84,11880,0,0,Fall,Dream
Global Institute 25,USA,Engineering,Master,6.0,0,60,12000,1,1,Spring,Target
Global Institute 26,UK,Management,Bachelor,6.3,0,61,12120,2,2,Fall,Safe
Global Institute 27,Canada,IT,Master,6.6,0,62,12240,3,0,Spring,Dream
Global Institute 28,Germany,Arts,Bachelor,6.9,60,63,12360,4,1,Fall,Target
Global Institute 29,Australia,Medical,Master,7.2,0,64,12480,5,2,Spring,Safe
Global Institute 30,USA,Engineering,Bachelor,6.0,0,65,12600,0,0,Fall,Dream
Global Institute 31,UK,Management,Master,6.3,0,66,12720,1,1,Spring,Target
Global Institute 32,Canada,IT,Bachelor,6.6,0,67,12840,2,2,Fall,Safe
Global Institute 33,Germany,Arts,Master,6.9,60,68,12960,3,0,Spring,Dream
Global Institute 34,Australia,Medical,Bachelor,7.2,0,69,13080,4,1,Fall,Target
Global Institute 35,USA,Engineering,Master,6.0,0,70,13200,5,2,Spring,Safe
Global Institute 36,UK,Management,Bachelor,6.3,0,71,13320,0,0,Fall,Dream
